#YY,MM,DD,hh,mm,WDI,R WSP,D GST,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP,DEWP,VIS,TIDE
2021,1,2,0,0,999,2.5,4.2,99,99,99,999,1020.1,15.3,999,11.1,99,99
2021,1,2,0,10,999,2.4,3.5,99,99,99,999,1020.1,15.3,999,11.1,99,99
2021,1,2,0,20,999,2.3,3.7,99,99,99,999,1020.1,15.4,999,11.5,99,99
2021,1,2,0,30,999,2,3.4,99,99,99,999,1020.1,15.3,999,11.7,99,99
2021,1,2,0,40,999,1.9,3,2.33,16,9.29,296,1020.2,15.2,999,11.7,99,99
2021,1,2,0,50,999,1.6,3,99,99,99,999,1020.3,15.2,999,11.8,99,99
2021,1,2,1,0,999,0.9,1.8,99,99,99,999,1020.3,15.2,999,12,99,99
2021,1,2,1,10,999,0.8,1.8,99,99,99,999,1020.2,15.1,999,12.1,99,99
2021,1,2,1,20,999,1.1,2.3,99,99,99,999,1020.5,14.9,999,12.1,99,99
2021,1,2,1,30,999,0.7,2,99,99,99,999,1020.6,14.9,999,12.4,99,99
2021,1,2,1,40,999,1,2.2,2.3,14.81,9.78,283,1020.7,14.7,999,12.3,99,99
2021,1,2,1,50,999,2.6,4.1,99,99,99,999,1021,14.7,999,12.4,99,99
2021,1,2,2,0,999,3,4.3,99,99,99,999,1021.1,14.7,999,12.4,99,99
2021,1,2,2,10,999,3,4.3,99,99,99,999,1021.2,14.8,999,12.5,99,99
2021,1,2,2,20,999,2.9,4.1,99,99,99,999,1021.1,14.9,999,12.7,99,99
2021,1,2,2,30,999,3,4.2,99,99,99,999,1021.2,14.8,999,12.6,99,99
2021,1,2,2,40,999,2.7,3.8,2.12,14.81,9.47,284,1021.4,14.7,999,12.5,99,99
2021,1,2,2,50,999,2.4,3.4,99,99,99,999,1021.3,14.7,999,12.5,99,99
2021,1,2,3,0,999,2.7,4.3,99,99,99,999,1021.6,14.6,999,12.4,99,99
2021,1,2,3,10,999,3.1,4.8,99,99,99,999,1021.5,14.6,999,12.3,99,99
2021,1,2,3,20,999,2.3,3.3,99,99,99,999,1021.5,14.6,999,12.3,99,99
2021,1,2,3,30,999,2.3,3.4,99,99,99,999,1021.6,14.6,999,12.2,99,99
2021,1,2,3,40,999,2,2.8,2.18,14.81,10.2,280,1021.7,14.6,999,12.2,99,99
2021,1,2,3,50,999,1.6,2.5,99,99,99,999,1021.6,14.6,999,12.2,99,99
2021,1,2,4,0,999,1.6,2.5,99,99,99,999,1021.5,14.6,999,12.2,99,99
2021,1,2,4,10,999,1.4,2.2,99,99,99,999,1021.6,14.6,999,12.2,99,99
2021,1,2,4,20,999,1.5,3,99,99,99,999,1021.7,14.5,999,12.1,99,99
2021,1,2,4,30,999,2.2,3.2,99,99,99,999,1021.6,14.4,999,12,99,99
2021,1,2,4,40,999,2,3,1.95,13.79,9.49,276,1021.6,14.4,999,11.9,99,99
2021,1,2,4,50,999,2.3,3.7,99,99,99,999,1021.8,14.4,999,11.8,99,99
2021,1,2,5,0,999,2.5,3.5,99,99,99,999,1022,14.5,999,11.7,99,99
2021,1,2,5,10,999,2,3.3,99,99,99,999,1022,14.5,999,11.5,99,99
