Beach_ID,Beach Name,Latitude,Longitude,Sunrise,Sunset,Weather Description,Temperature,Water Temperature,Cloud Cover,Wind Speed,Wave Height
56,Ocean Beach,37.88181079,-122.534132,06:52 AM,04:58 PM,Clear,52,52,0,6,2.3
57,Fort Funston Beach,37.71968785,-122.5028803,06:51 AM,04:58 PM,Clear,52,52,0,6,2.3
58,Thornton Beach State Park,37.69895078,-122.4966631,06:51 AM,04:58 PM,Clear,52,52,0,6,2.3
59,Palisades Park,34.02321351,-118.5095999,06:27 AM,04:50 PM,Clear,60,58,0,8,1.3
60,Northridge Park,34.04688979,-118.6136107,06:27 AM,04:50 PM,Clear,60,58,0,8,1.3
61,Mussel Rock Park,37.66864578,-122.4949438,06:51 AM,04:58 PM,Clear,52,52,0,6,2.3
62,Long View Park,33.4809628,-117.7246712,06:23 AM,04:47 PM,Clear,59,63,0,6,1.6
63,Beach State Park,33.45460429,-117.6692246,06:23 AM,04:47 PM,Clear,59,63,0,6,1.6
64,Rockaway Beach,40.58727455,-73.82006442,06:43 AM,04:36 PM,Patchy rain possible,47,59,100,24,4.6
65,Tunitas Creek Beach,37.35550969,-122.3999619,06:51 AM,04:58 PM,Clear,51,51,0,8,3.6
66,Gray Whale Cove State Beach,37.56465031,-122.514044,06:51 AM,04:58 PM,Clear,51,51,0,8,3.6
67,Montara State Beach,37.54661402,-122.5149052,06:51 AM,04:58 PM,Clear,51,51,0,8,3.6
68,El Granada Beach,37.5005241,-122.4706817,06:51 AM,04:58 PM,Clear,51,51,0,8,3.6
69,Vallejo Beach,37.49660111,-122.4650877,06:51 AM,04:58 PM,Clear,51,51,0,8,3.6
70,Miramar Beach,30.37588036,-86.36451333,06:12 AM,04:48 PM,Partly cloudy,49,71,7,22,3.3
71,Half Moon Bay State Beach,37.47766417,-122.4500385,06:51 AM,04:58 PM,Clear,51,51,0,8,3.6
72,Roosevelt Beach,37.48808914,-122.4566241,06:51 AM,04:58 PM,Clear,51,51,0,8,3.6
73,Dunes Beach,37.48509246,-122.4539204,06:51 AM,04:58 PM,Clear,51,51,0,8,3.6
74,Venice Beach,37.47654446,-122.4489851,06:51 AM,04:58 PM,Clear,51,51,0,8,3.6
75,Francis Beach,37.46564519,-122.4467106,06:51 AM,04:58 PM,Clear,51,51,0,8,3.6
76,Poplar Beach,37.45607296,-122.4447794,06:51 AM,04:58 PM,Clear,51,51,0,8,3.6
77,Redondo State Beach,37.44070715,-122.4437066,06:51 AM,04:58 PM,Clear,51,51,0,8,3.6
