,#YY,MM,DD,hh,mm,WSP,GST,WVHT,DPD,APD,MWD,PRES,ATMP,DEWP,Wave_Size,Wind_Speed
304,2021,1,3,2,40,4.9,6.4,2.21,19.05,11.22,283,1023.5,13.5,10.8,Ideal (3-9 ft),Moderate (3-19 mph)
310,2021,1,3,3,40,4.3,5.6,2.13,19.05,11.02,287,1023.4,13.4,10.4,Ideal (3-9 ft),Moderate (3-19 mph)
316,2021,1,3,4,40,4.1,5.9,2.27,19.05,11.12,283,1023.5,13.5,10.7,Ideal (3-9 ft),Moderate (3-19 mph)
322,2021,1,3,5,40,4.4,5.6,1.98,17.39,10.41,277,1023.6,13.7,11.1,Small (<2 ft),Moderate (3-19 mph)
328,2021,1,3,6,40,4.5,6.2,2.15,17.39,11.35,276,1023.5,13.9,11.4,Ideal (3-9 ft),Moderate (3-19 mph)
334,2021,1,3,7,40,5.6,7.0,2.27,17.39,11.1,280,1023.7,13.9,11.3,Ideal (3-9 ft),Moderate (3-19 mph)
340,2021,1,3,8,40,4.7,5.9,2.22,17.39,10.91,276,1023.5,13.9,11.2,Ideal (3-9 ft),Moderate (3-19 mph)
346,2021,1,3,9,40,3.1,4.5,2.0,17.39,10.54,278,1023.4,13.9,11.0,Small (<2 ft),Moderate (3-19 mph)
352,2021,1,3,10,40,1.5,2.3,2.36,17.39,11.44,279,1023.1,13.7,10.9,Ideal (3-9 ft),Ideal(<3 mph)
358,2021,1,3,11,40,4.5,6.2,2.25,17.39,10.7,274,1023.1,14.0,11.0,Ideal (3-9 ft),Moderate (3-19 mph)
364,2021,1,3,12,40,3.1,4.4,2.31,17.39,10.98,281,1023.1,14.2,10.9,Ideal (3-9 ft),Moderate (3-19 mph)
370,2021,1,3,13,40,2.5,3.4,2.33,17.39,10.82,279,1023.2,14.2,10.7,Ideal (3-9 ft),Ideal(<3 mph)
376,2021,1,3,14,40,3.8,5.2,2.46,17.39,10.93,275,1023.4,14.4,11.0,Ideal (3-9 ft),Moderate (3-19 mph)
382,2021,1,3,15,40,3.9,5.1,2.77,17.39,11.4,270,1023.6,14.3,11.3,Ideal (3-9 ft),Moderate (3-19 mph)
388,2021,1,3,16,40,4.6,6.3,2.5,14.81,10.72,267,1024.2,14.5,12.4,Ideal (3-9 ft),Moderate (3-19 mph)
394,2021,1,3,17,40,4.4,5.8,2.52,17.39,10.84,261,1024.2,14.0,12.5,Ideal (3-9 ft),Moderate (3-19 mph)
400,2021,1,3,18,40,3.4,4.6,2.68,16.0,11.06,273,1023.7,13.8,12.4,Ideal (3-9 ft),Moderate (3-19 mph)
406,2021,1,3,19,40,3.4,5.0,2.81,14.81,11.31,278,1022.7,14.1,12.6,Ideal (3-9 ft),Moderate (3-19 mph)
412,2021,1,3,20,40,2.6,3.5,3.0,17.39,11.45,286,1021.8,13.6,12.4,Ideal (3-9 ft),Ideal(<3 mph)
418,2021,1,3,21,40,4.4,6.3,2.65,17.39,10.53,280,1021.4,13.5,12.1,Ideal (3-9 ft),Moderate (3-19 mph)
424,2021,1,3,22,40,4.8,6.8,2.55,16.0,10.64,290,1021.4,13.5,12.0,Ideal (3-9 ft),Moderate (3-19 mph)
430,2021,1,3,23,40,4.5,6.0,2.8,16.0,11.42,285,1021.5,13.6,11.9,Ideal (3-9 ft),Moderate (3-19 mph)
436,2021,1,4,0,40,5.0,6.2,2.34,17.39,9.98,294,1021.8,13.8,11.3,Ideal (3-9 ft),Moderate (3-19 mph)
442,2021,1,4,1,40,5.2,6.9,2.33,16.0,9.98,277,1022.0,14.0,11.3,Ideal (3-9 ft),Moderate (3-19 mph)
448,2021,1,4,2,40,3.2,4.5,2.08,16.0,9.79,289,1021.7,14.0,11.1,Ideal (3-9 ft),Moderate (3-19 mph)
454,2021,1,4,3,40,3.2,4.6,2.44,16.0,10.74,285,1021.8,14.0,11.3,Ideal (3-9 ft),Moderate (3-19 mph)
460,2021,1,4,4,40,5.2,6.6,2.53,16.0,10.81,282,1021.8,13.8,11.2,Ideal (3-9 ft),Moderate (3-19 mph)
466,2021,1,4,5,40,5.3,6.7,2.54,14.81,10.89,277,1021.8,13.5,10.8,Ideal (3-9 ft),Moderate (3-19 mph)
472,2021,1,4,6,40,3.2,5.2,2.21,14.81,9.7,280,1021.7,13.3,10.5,Ideal (3-9 ft),Moderate (3-19 mph)
478,2021,1,4,7,40,3.8,5.5,2.47,16.0,10.53,276,1021.7,13.4,10.7,Ideal (3-9 ft),Moderate (3-19 mph)
484,2021,1,4,8,40,3.4,5.3,2.14,14.81,10.13,286,1021.6,13.3,10.3,Ideal (3-9 ft),Moderate (3-19 mph)
490,2021,1,4,9,40,2.2,4.0,2.64,16.0,11.24,278,1021.8,13.1,10.1,Ideal (3-9 ft),Ideal(<3 mph)
496,2021,1,4,10,40,3.7,5.4,2.43,16.0,10.84,287,1021.6,13.2,10.4,Ideal (3-9 ft),Moderate (3-19 mph)
502,2021,1,4,11,40,3.9,5.5,2.3,14.81,10.54,290,1021.4,13.2,10.3,Ideal (3-9 ft),Moderate (3-19 mph)
508,2021,1,4,12,40,4.5,5.7,2.52,14.81,11.35,282,1021.6,13.5,10.4,Ideal (3-9 ft),Moderate (3-19 mph)
514,2021,1,4,13,40,4.6,6.9,2.28,14.81,10.06,292,1022.0,13.5,9.9,Ideal (3-9 ft),Moderate (3-19 mph)
520,2021,1,4,14,40,6.0,8.2,2.47,14.81,10.52,283,1022.7,13.4,9.8,Ideal (3-9 ft),Moderate (3-19 mph)
526,2021,1,4,15,40,4.7,5.9,2.25,14.81,10.26,285,1022.6,13.7,10.1,Ideal (3-9 ft),Moderate (3-19 mph)
531,2021,1,4,16,40,3.7,4.4,2.3,14.81,10.39,290,1023.0,13.8,10.6,Ideal (3-9 ft),Moderate (3-19 mph)
537,2021,1,4,17,40,3.2,4.3,2.26,14.81,10.35,280,1023.2,14.1,10.5,Ideal (3-9 ft),Moderate (3-19 mph)
543,2021,1,4,18,40,4.0,5.1,2.09,13.79,10.56,285,1022.7,14.2,10.7,Ideal (3-9 ft),Moderate (3-19 mph)
549,2021,1,4,19,40,4.1,5.3,2.09,13.79,10.77,280,1021.4,14.2,10.7,Ideal (3-9 ft),Moderate (3-19 mph)
555,2021,1,4,20,40,5.5,7.4,2.07,13.79,10.7,282,1021.0,14.0,10.5,Ideal (3-9 ft),Moderate (3-19 mph)
561,2021,1,4,21,40,5.7,7.4,2.31,14.81,10.85,279,1020.5,14.0,10.9,Ideal (3-9 ft),Moderate (3-19 mph)
567,2021,1,4,22,40,8.3,10.3,2.24,13.79,9.37,284,1020.7,14.1,11.1,Ideal (3-9 ft),Moderate (3-19 mph)
573,2021,1,4,23,40,7.6,9.6,2.0,14.81,7.59,296,1020.8,14.2,11.6,Small (<2 ft),Moderate (3-19 mph)
579,2021,1,5,0,40,8.3,10.6,2.1,12.9,7.48,286,1021.2,13.9,12.4,Ideal (3-9 ft),Moderate (3-19 mph)
585,2021,1,5,1,40,6.6,8.4,2.17,12.9,7.48,282,1021.6,14.2,12.7,Ideal (3-9 ft),Moderate (3-19 mph)
591,2021,1,5,2,40,6.7,8.5,2.14,14.81,7.12,277,1021.7,14.1,12.7,Ideal (3-9 ft),Moderate (3-19 mph)
597,2021,1,5,3,40,5.9,7.7,2.28,14.81,7.55,284,1021.3,14.2,12.5,Ideal (3-9 ft),Moderate (3-19 mph)
603,2021,1,5,4,40,5.5,6.8,2.03,13.79,7.46,277,1021.5,14.1,12.4,Ideal (3-9 ft),Moderate (3-19 mph)
609,2021,1,5,5,40,6.6,8.2,2.23,14.81,8.06,276,1021.7,14.3,12.5,Ideal (3-9 ft),Moderate (3-19 mph)
615,2021,1,5,6,40,5.6,7.0,2.12,13.79,8.22,277,1021.2,14.4,12.5,Ideal (3-9 ft),Moderate (3-19 mph)
621,2021,1,5,7,40,5.0,6.3,1.86,13.79,8.05,280,1020.6,14.3,12.6,Small (<2 ft),Moderate (3-19 mph)
627,2021,1,5,8,40,4.4,5.8,2.09,11.43,8.29,274,1020.5,14.3,12.7,Ideal (3-9 ft),Moderate (3-19 mph)
633,2021,1,5,9,40,4.6,6.0,2.3,13.79,9.31,275,1020.4,14.3,12.7,Ideal (3-9 ft),Moderate (3-19 mph)
639,2021,1,5,10,40,5.3,6.6,2.09,14.81,8.61,269,1020.1,14.2,12.8,Ideal (3-9 ft),Moderate (3-19 mph)
645,2021,1,5,11,40,5.8,8.3,2.15,17.39,8.65,283,1019.6,14.3,12.7,Ideal (3-9 ft),Moderate (3-19 mph)
651,2021,1,5,12,40,6.1,8.0,2.23,17.39,8.62,278,1019.7,14.1,12.2,Ideal (3-9 ft),Moderate (3-19 mph)
657,2021,1,5,13,40,6.3,8.5,1.87,17.39,7.3,281,1019.9,13.8,12.2,Small (<2 ft),Moderate (3-19 mph)
663,2021,1,5,14,40,6.0,7.5,2.08,19.05,7.77,282,1020.3,14.1,12.0,Ideal (3-9 ft),Moderate (3-19 mph)
669,2021,1,5,15,40,5.1,7.4,1.91,14.81,7.31,281,1020.6,13.8,11.8,Small (<2 ft),Moderate (3-19 mph)
675,2021,1,5,16,40,5.1,7.2,1.9,17.39,7.66,276,1021.0,13.2,11.5,Small (<2 ft),Moderate (3-19 mph)
681,2021,1,5,17,40,5.3,6.4,1.78,19.05,7.46,266,1021.3,13.1,11.5,Small (<2 ft),Moderate (3-19 mph)
687,2021,1,5,18,40,4.4,5.6,2.0,16.0,8.34,261,1021.0,13.3,11.6,Small (<2 ft),Moderate (3-19 mph)
693,2021,1,5,19,40,3.0,4.8,1.84,17.39,8.14,272,1020.0,13.5,11.5,Small (<2 ft),Ideal(<3 mph)
699,2021,1,5,20,40,4.0,5.3,1.95,17.39,9.29,266,1019.3,13.2,11.1,Small (<2 ft),Moderate (3-19 mph)
705,2021,1,5,21,40,4.8,7.0,1.75,17.39,8.78,283,1019.3,12.8,10.9,Small (<2 ft),Moderate (3-19 mph)
711,2021,1,5,22,40,5.2,7.2,1.9,14.81,9.16,268,1019.2,12.7,11.0,Small (<2 ft),Moderate (3-19 mph)
717,2021,1,5,23,40,4.0,5.7,2.0,17.39,9.28,276,1019.2,12.7,11.0,Small (<2 ft),Moderate (3-19 mph)
723,2021,1,6,0,40,3.8,5.1,1.86,17.39,9.32,277,1019.2,12.8,11.0,Small (<2 ft),Moderate (3-19 mph)
729,2021,1,6,1,40,3.6,5.5,2.04,17.39,9.77,281,1020.0,12.9,11.2,Ideal (3-9 ft),Moderate (3-19 mph)
735,2021,1,6,2,40,1.9,3.7,2.05,16.0,9.59,269,1019.8,12.5,10.8,Ideal (3-9 ft),Ideal(<3 mph)
741,2021,1,6,3,40,1.3,2.9,2.02,16.0,9.63,289,1020.0,12.4,11.0,Ideal (3-9 ft),Ideal(<3 mph)
747,2021,1,6,4,40,1.8,3.4,2.14,13.79,9.63,274,1020.1,12.3,10.8,Ideal (3-9 ft),Ideal(<3 mph)
753,2021,1,6,5,40,2.0,3.2,2.06,17.39,9.81,270,1020.1,12.6,11.1,Ideal (3-9 ft),Ideal(<3 mph)
759,2021,1,6,6,40,4.5,6.8,2.08,17.39,10.04,275,1020.1,12.8,11.2,Ideal (3-9 ft),Moderate (3-19 mph)
765,2021,1,6,7,40,2.9,4.4,2.21,12.12,9.89,270,1019.6,13.2,11.2,Ideal (3-9 ft),Ideal(<3 mph)
771,2021,1,6,8,40,3.9,5.3,2.35,14.81,10.43,257,1019.5,13.6,11.7,Ideal (3-9 ft),Moderate (3-19 mph)
777,2021,1,6,9,40,4.2,5.4,2.1,16.0,9.99,264,1019.3,13.7,11.8,Ideal (3-9 ft),Moderate (3-19 mph)
783,2021,1,6,10,40,3.7,4.5,2.06,17.39,9.98,275,1019.4,13.6,11.9,Ideal (3-9 ft),Moderate (3-19 mph)
789,2021,1,6,11,40,2.9,4.3,2.1,13.79,9.8,270,1018.9,13.4,11.7,Ideal (3-9 ft),Ideal(<3 mph)
795,2021,1,6,12,40,1.6,2.4,2.16,16.0,10.18,273,1018.8,13.6,11.9,Ideal (3-9 ft),Ideal(<3 mph)
801,2021,1,6,13,40,0.5,1.4,2.09,14.81,9.71,277,1019.3,13.6,11.9,Ideal (3-9 ft),Ideal(<3 mph)
807,2021,1,6,14,40,1.7,3.7,2.26,12.9,9.58,278,1020.0,13.5,11.6,Ideal (3-9 ft),Ideal(<3 mph)
813,2021,1,6,15,40,1.1,2.9,2.36,14.81,10.08,276,1020.6,13.2,11.2,Ideal (3-9 ft),Ideal(<3 mph)
819,2021,1,6,16,40,2.8,4.7,2.36,16.0,9.96,269,1021.1,13.3,11.3,Ideal (3-9 ft),Ideal(<3 mph)
825,2021,1,6,17,40,0.2,0.9,2.27,16.0,9.96,266,1021.0,13.7,11.5,Ideal (3-9 ft),Ideal(<3 mph)
831,2021,1,6,18,40,1.3,2.3,2.41,12.12,10.0,265,1020.9,13.8,11.2,Ideal (3-9 ft),Ideal(<3 mph)
837,2021,1,6,19,40,1.1,3.0,2.17,16.0,9.9,261,1020.3,13.8,11.4,Ideal (3-9 ft),Ideal(<3 mph)
843,2021,1,6,20,40,2.2,3.5,1.98,12.9,9.97,266,1019.6,13.5,11.1,Small (<2 ft),Ideal(<3 mph)
849,2021,1,6,21,40,1.9,3.0,2.04,14.81,10.22,262,1019.2,13.5,11.2,Ideal (3-9 ft),Ideal(<3 mph)
855,2021,1,6,22,40,2.8,4.2,1.99,12.9,10.34,263,1019.1,13.4,11.4,Small (<2 ft),Ideal(<3 mph)
861,2021,1,6,23,40,2.5,3.7,1.91,14.81,9.96,271,1018.8,13.9,11.7,Small (<2 ft),Ideal(<3 mph)
867,2021,1,7,0,40,2.8,3.9,1.98,14.81,9.89,269,1019.1,14.0,12.1,Small (<2 ft),Ideal(<3 mph)
873,2021,1,7,1,40,2.9,4.0,1.74,13.79,9.16,282,1019.0,14.2,12.6,Small (<2 ft),Ideal(<3 mph)
879,2021,1,7,2,40,3.8,5.8,2.25,14.81,10.16,279,1019.3,14.2,12.7,Ideal (3-9 ft),Moderate (3-19 mph)
885,2021,1,7,3,40,2.3,3.3,1.99,16.0,9.11,273,1019.4,14.3,12.8,Small (<2 ft),Ideal(<3 mph)
891,2021,1,7,4,40,0.4,1.0,2.02,14.81,9.08,274,1019.5,14.1,12.4,Ideal (3-9 ft),Ideal(<3 mph)
897,2021,1,7,5,40,1.9,3.7,2.0,16.0,8.8,271,1019.4,14.2,12.8,Small (<2 ft),Ideal(<3 mph)
903,2021,1,7,6,40,2.9,4.4,2.25,14.81,9.44,276,1019.4,13.9,12.5,Ideal (3-9 ft),Ideal(<3 mph)
909,2021,1,7,7,40,3.7,5.0,2.1,12.9,9.21,271,1019.4,13.9,12.3,Ideal (3-9 ft),Moderate (3-19 mph)
915,2021,1,7,8,40,3.5,4.8,2.04,14.81,8.98,272,1019.1,13.9,12.2,Ideal (3-9 ft),Moderate (3-19 mph)
921,2021,1,7,9,40,3.0,4.0,1.93,16.0,8.88,262,1018.7,13.9,12.0,Small (<2 ft),Ideal(<3 mph)
927,2021,1,7,10,40,3.4,4.8,2.06,14.81,9.51,272,1018.5,13.9,12.0,Ideal (3-9 ft),Moderate (3-19 mph)
933,2021,1,7,11,40,1.1,2.2,2.28,14.81,10.04,277,1018.1,13.9,12.1,Ideal (3-9 ft),Ideal(<3 mph)
939,2021,1,7,12,40,2.3,3.2,2.13,14.81,9.21,284,1018.4,14.0,12.4,Ideal (3-9 ft),Ideal(<3 mph)
945,2021,1,7,13,40,0.6,1.5,2.16,16.0,9.56,280,1018.4,13.9,12.5,Ideal (3-9 ft),Ideal(<3 mph)
951,2021,1,7,14,40,2.2,3.3,2.01,12.9,8.94,279,1018.9,13.8,12.5,Ideal (3-9 ft),Ideal(<3 mph)
957,2021,1,7,15,40,2.0,3.4,1.96,12.12,9.05,282,1019.1,13.0,11.7,Small (<2 ft),Ideal(<3 mph)
963,2021,1,7,16,40,1.0,2.5,2.03,16.0,9.08,283,1020.1,12.7,11.5,Ideal (3-9 ft),Ideal(<3 mph)
969,2021,1,7,17,40,0.9,3.0,2.14,13.79,9.53,279,1020.3,12.6,11.4,Ideal (3-9 ft),Ideal(<3 mph)
975,2021,1,7,18,40,1.7,3.2,1.95,14.81,9.6,285,1019.4,12.4,11.1,Small (<2 ft),Ideal(<3 mph)
981,2021,1,7,19,40,1.8,3.7,1.93,13.79,9.67,278,1019.2,12.3,10.9,Small (<2 ft),Ideal(<3 mph)
987,2021,1,7,20,40,2.9,4.4,1.94,13.79,9.61,279,1018.1,12.7,11.3,Small (<2 ft),Ideal(<3 mph)
993,2021,1,7,21,40,1.5,2.6,1.91,14.81,9.79,276,1017.2,12.9,11.3,Small (<2 ft),Ideal(<3 mph)
999,2021,1,7,22,40,4.3,5.6,1.71,16.0,9.45,275,1017.7,13.2,11.9,Small (<2 ft),Moderate (3-19 mph)
1005,2021,1,7,23,40,3.7,5.3,2.1,14.81,10.43,277,1017.7,12.3,11.2,Ideal (3-9 ft),Moderate (3-19 mph)
1011,2021,1,8,0,40,2.4,3.4,1.81,14.81,9.4,274,1017.3,12.6,11.8,Small (<2 ft),Ideal(<3 mph)
1017,2021,1,8,1,40,1.7,2.7,2.15,14.81,10.26,273,1017.6,13.3,12.6,Ideal (3-9 ft),Ideal(<3 mph)
1023,2021,1,8,2,40,1.7,2.5,1.89,16.0,9.71,286,1017.6,13.7,13.0,Small (<2 ft),Ideal(<3 mph)
1029,2021,1,8,3,40,2.3,3.5,2.02,13.79,10.32,289,1018.2,13.7,12.7,Ideal (3-9 ft),Ideal(<3 mph)
1035,2021,1,8,4,40,1.7,2.8,1.89,16.0,10.2,284,1018.5,12.4,11.6,Small (<2 ft),Ideal(<3 mph)
1041,2021,1,8,5,40,2.0,2.7,1.85,14.81,10.13,282,1018.9,11.9,11.2,Small (<2 ft),Ideal(<3 mph)
1047,2021,1,8,6,40,1.3,2.0,1.88,16.0,10.26,280,1019.1,11.1,10.4,Small (<2 ft),Ideal(<3 mph)
1053,2021,1,8,7,40,1.4,2.4,1.75,16.0,9.87,274,1019.3,10.9,10.2,Small (<2 ft),Ideal(<3 mph)
1059,2021,1,8,8,40,0.6,1.7,2.18,14.81,11.17,275,1019.0,10.6,9.9,Ideal (3-9 ft),Ideal(<3 mph)
1065,2021,1,8,9,40,0.2,1.2,1.85,16.0,10.55,271,1018.7,10.6,10.0,Small (<2 ft),Ideal(<3 mph)
1071,2021,1,8,10,40,1.3,2.2,1.66,14.81,9.62,276,1019.1,11.3,10.7,Small (<2 ft),Ideal(<3 mph)
1077,2021,1,8,11,40,2.9,4.1,1.88,14.81,10.28,270,1018.8,12.8,12.2,Small (<2 ft),Ideal(<3 mph)
1083,2021,1,8,12,40,3.4,4.7,1.88,14.81,9.92,276,1018.8,13.3,12.6,Small (<2 ft),Moderate (3-19 mph)
1089,2021,1,8,13,40,2.3,2.9,2.11,14.81,9.73,279,1019.5,13.5,12.1,Ideal (3-9 ft),Ideal(<3 mph)
1095,2021,1,8,14,40,2.6,3.4,1.84,14.81,8.56,273,1020.1,12.6,11.9,Small (<2 ft),Ideal(<3 mph)
1101,2021,1,8,15,40,3.2,5.0,2.01,14.81,8.55,284,1020.8,12.5,11.6,Ideal (3-9 ft),Moderate (3-19 mph)
1107,2021,1,8,16,40,1.2,3.2,1.8,12.9,8.1,271,1021.3,13.5,11.6,Small (<2 ft),Ideal(<3 mph)
1113,2021,1,8,17,40,1.5,2.4,1.92,14.81,8.23,279,1021.3,13.0,10.8,Small (<2 ft),Ideal(<3 mph)
1119,2021,1,8,18,40,0.9,2.4,1.95,13.79,8.41,269,1021.0,12.9,10.6,Small (<2 ft),Ideal(<3 mph)
1125,2021,1,8,19,40,0.4,1.8,1.73,14.81,7.81,263,1019.8,13.6,10.6,Small (<2 ft),Ideal(<3 mph)
1131,2021,1,8,20,40,0.2,1.4,1.84,14.81,8.44,260,1019.0,13.9,11.0,Small (<2 ft),Ideal(<3 mph)
1137,2021,1,8,21,40,2.4,3.5,1.82,14.81,8.66,273,1018.3,13.6,11.2,Small (<2 ft),Ideal(<3 mph)
1143,2021,1,8,22,40,4.9,6.6,1.92,13.79,9.15,266,1018.0,14.1,12.1,Small (<2 ft),Moderate (3-19 mph)
1149,2021,1,8,23,40,5.7,7.5,1.85,14.81,8.74,264,1017.8,13.6,12.3,Small (<2 ft),Moderate (3-19 mph)
1155,2021,1,9,0,40,5.5,7.2,1.84,14.81,8.55,271,1018.3,14.3,12.7,Small (<2 ft),Moderate (3-19 mph)
1161,2021,1,9,1,40,5.5,6.6,1.78,14.81,7.95,274,1018.8,13.1,12.1,Small (<2 ft),Moderate (3-19 mph)
1167,2021,1,9,2,40,2.0,2.9,1.71,14.81,8.23,281,1018.5,13.7,12.1,Small (<2 ft),Ideal(<3 mph)
