,#YY,MM,DD,hh,mm,WSP,GST,WVHT,DPD,APD,MWD,PRES,ATMP,DEWP,Wave_Size,Wind_Speed
598,2020,1,5,3,40,6.0,7.1,1.45,13.79,7.85,270,1025.6,14.5,12.6,Small (<2 ft),Moderate (3-19 mph)
604,2020,1,5,4,40,4.8,6.0,1.3,12.9,7.52,246,1025.6,14.6,12.8,Small (<2 ft),Moderate (3-19 mph)
610,2020,1,5,5,40,4.8,6.1,1.22,14.81,6.82,260,1026.0,14.7,12.8,Small (<2 ft),Moderate (3-19 mph)
616,2020,1,5,6,40,5.6,6.6,1.18,13.79,6.78,263,1026.0,14.5,12.7,Small (<2 ft),Moderate (3-19 mph)
622,2020,1,5,7,40,4.7,6.1,1.21,16.0,6.38,277,1025.9,14.6,12.7,Small (<2 ft),Moderate (3-19 mph)
628,2020,1,5,8,40,4.6,5.6,1.15,12.9,6.27,253,1025.2,14.6,12.8,Small (<2 ft),Moderate (3-19 mph)
634,2020,1,5,9,40,4.5,5.4,1.18,14.81,6.22,244,1025.2,14.6,12.7,Small (<2 ft),Moderate (3-19 mph)
640,2020,1,5,10,40,4.9,5.9,1.2,14.81,6.13,272,1025.1,14.6,12.7,Small (<2 ft),Moderate (3-19 mph)
646,2020,1,5,11,40,3.2,4.3,1.31,13.79,7.66,260,1024.8,14.4,12.5,Small (<2 ft),Moderate (3-19 mph)
652,2020,1,5,12,40,5.8,7.3,1.21,13.79,6.66,250,1024.7,14.4,12.0,Small (<2 ft),Moderate (3-19 mph)
658,2020,1,5,13,40,4.2,5.0,1.32,13.79,6.64,268,1025.1,14.5,12.2,Small (<2 ft),Moderate (3-19 mph)
664,2020,1,5,14,40,2.4,3.1,1.44,13.79,6.88,258,1025.5,14.4,12.1,Small (<2 ft),Ideal(<3 mph)
670,2020,1,5,15,40,3.0,4.0,1.44,12.9,6.72,273,1026.0,14.6,12.3,Small (<2 ft),Ideal(<3 mph)
676,2020,1,5,16,40,1.4,2.3,1.44,12.12,6.36,249,1026.4,14.6,11.9,Small (<2 ft),Ideal(<3 mph)
682,2020,1,5,17,40,1.7,3.3,1.5,13.79,6.63,233,1026.8,14.7,12.0,Small (<2 ft),Ideal(<3 mph)
688,2020,1,5,18,40,2.0,3.9,1.6,12.9,6.61,265,1026.3,14.6,11.6,Small (<2 ft),Ideal(<3 mph)
694,2020,1,5,19,40,2.4,3.9,1.64,7.69,6.88,275,1025.3,14.8,12.1,Small (<2 ft),Ideal(<3 mph)
700,2020,1,5,20,40,3.1,4.3,1.57,12.9,7.03,259,1024.3,14.7,12.0,Small (<2 ft),Moderate (3-19 mph)
706,2020,1,5,21,40,3.5,4.6,1.53,12.9,7.2,260,1023.6,14.7,12.4,Small (<2 ft),Moderate (3-19 mph)
712,2020,1,5,22,40,2.4,3.8,1.74,8.33,7.47,271,1023.6,14.9,12.2,Small (<2 ft),Ideal(<3 mph)
718,2020,1,5,23,40,4.7,6.1,1.85,9.09,7.6,273,1023.0,15.0,12.5,Small (<2 ft),Moderate (3-19 mph)
724,2020,1,6,0,40,6.0,7.6,1.87,12.12,7.75,270,1022.8,15.1,12.9,Small (<2 ft),Moderate (3-19 mph)
730,2020,1,6,1,40,5.0,6.3,1.96,13.79,7.83,258,1022.7,15.0,12.8,Small (<2 ft),Moderate (3-19 mph)
736,2020,1,6,2,40,5.0,6.2,2.02,10.0,7.75,273,1023.4,15.0,13.0,Ideal (3-9 ft),Moderate (3-19 mph)
742,2020,1,6,3,40,5.0,6.4,2.17,12.9,8.07,272,1023.1,15.4,12.1,Ideal (3-9 ft),Moderate (3-19 mph)
748,2020,1,6,4,40,5.2,6.7,2.07,12.9,7.89,270,1023.3,15.6,11.6,Ideal (3-9 ft),Moderate (3-19 mph)
754,2020,1,6,5,40,4.2,5.5,2.15,12.12,7.83,263,1023.4,15.4,12.1,Ideal (3-9 ft),Moderate (3-19 mph)
760,2020,1,6,6,40,3.7,4.9,1.98,12.9,7.69,271,1023.5,15.4,12.0,Small (<2 ft),Moderate (3-19 mph)
766,2020,1,6,7,40,2.9,4.0,2.3,11.43,8.0,269,1023.4,15.3,12.5,Ideal (3-9 ft),Ideal(<3 mph)
772,2020,1,6,8,40,4.3,5.0,2.25,12.9,8.26,265,1023.1,15.2,12.8,Ideal (3-9 ft),Moderate (3-19 mph)
778,2020,1,6,9,40,4.3,5.4,2.14,12.12,8.43,270,1023.1,15.2,13.1,Ideal (3-9 ft),Moderate (3-19 mph)
784,2020,1,6,10,40,4.7,5.4,2.28,12.9,8.41,275,1023.1,15.2,13.3,Ideal (3-9 ft),Moderate (3-19 mph)
790,2020,1,6,11,40,3.8,4.5,2.0,10.0,7.94,282,1022.9,15.3,13.3,Small (<2 ft),Moderate (3-19 mph)
796,2020,1,6,12,40,5.2,6.1,2.37,12.9,8.77,274,1023.0,15.2,13.7,Ideal (3-9 ft),Moderate (3-19 mph)
802,2020,1,6,13,40,3.4,4.3,2.17,10.0,8.27,283,1023.3,15.3,13.7,Ideal (3-9 ft),Moderate (3-19 mph)
808,2020,1,6,14,40,4.4,5.6,2.2,10.0,8.15,285,1023.7,15.5,13.2,Ideal (3-9 ft),Moderate (3-19 mph)
814,2020,1,6,15,40,3.0,4.4,2.02,12.12,7.92,282,1024.2,15.7,12.7,Ideal (3-9 ft),Ideal(<3 mph)
820,2020,1,6,16,40,3.3,4.3,2.08,10.81,8.0,275,1024.9,16.3,11.1,Ideal (3-9 ft),Moderate (3-19 mph)
826,2020,1,6,17,40,4.4,5.4,1.78,10.0,7.63,273,1025.4,16.5,11.3,Small (<2 ft),Moderate (3-19 mph)
832,2020,1,6,18,40,4.8,5.6,1.91,10.0,8.05,274,1025.2,16.4,12.1,Small (<2 ft),Moderate (3-19 mph)
838,2020,1,6,19,40,4.4,5.2,1.79,10.0,7.38,272,1024.3,16.7,10.8,Small (<2 ft),Moderate (3-19 mph)
844,2020,1,6,20,40,3.7,4.5,1.88,10.0,8.11,270,1023.6,16.7,12.1,Small (<2 ft),Moderate (3-19 mph)
850,2020,1,6,21,40,3.9,5.0,1.67,11.43,7.8,273,1023.0,16.6,12.0,Small (<2 ft),Moderate (3-19 mph)
856,2020,1,6,22,40,3.8,4.9,1.56,10.0,7.79,275,1022.5,16.9,11.7,Small (<2 ft),Moderate (3-19 mph)
