beach_id,Beach_Name,Latitude,Longitude,Sunrise,Sunset,Weather_Description,Temperature,Water_Temperature,Cloud_Cover,Wind_Speed,Wave_Height
139,Cabrillo Beach,33.71107,-118.283053,6:29 AM,4:48 PM,Clear,62,59,0,6,2.3
140,Bolsa Chica State Beach,33.69949298,-118.0506696,6:28 AM,4:47 PM,Clear,63,59,0,18,2.6
141,Huntington City Beach,33.6556063,-118.0027792,6:28 AM,4:47 PM,Clear,63,59,0,18,2.6
142,Huntington State Beach,33.63838381,-117.9741486,6:27 AM,4:46 PM,Clear,63,59,0,18,2.6
143,Santa Ana River County Beach,33.62579683,-117.9515567,6:27 AM,4:46 PM,Clear,63,59,0,18,2.6
144,Newport Beach Municipal Beach,33.60645254,-117.9260873,6:27 AM,4:46 PM,Clear,63,59,0,18,2.6
145,Balboa Beach,33.596877,-117.89127,6:27 AM,4:46 PM,Clear,63,59,0,18,2.6
146,The Wedge (Newport Beach),33.593665,-117.881895,6:27 AM,4:46 PM,Clear,63,59,0,18,2.6
147,Corona del Mar State Beach,33.59308086,-117.8765156,6:27 AM,4:46 PM,Clear,63,59,0,18,2.6
148,Little Corona del Mar Beach,33.59007934,-117.8689934,6:27 AM,4:46 PM,Clear,63,59,0,18,2.6
149,Crystal Cove State Park,33.57566596,-117.8412706,6:27 AM,4:46 PM,Clear,63,59,0,18,2.6
150,Crescent Bay Point Park,33.54707317,-117.8038219,6:27 AM,4:46 PM,Clear,63,59,0,18,2.6
151,Shaw's Cove,33.54560671,-117.7982644,6:27 AM,4:46 PM,Clear,63,59,0,18,2.6
152,Diver's Cove,33.54480194,-117.7945844,6:27 AM,4:46 PM,Clear,63,59,0,18,2.6
153,Picnic Beach,33.54364841,-117.7927497,6:27 AM,4:46 PM,Clear,63,59,0,18,2.6
154,Rockpile Beach,33.543094,-117.7896491,6:27 AM,4:46 PM,Clear,63,59,0,18,2.6
155,Laguna Beach,33.54263769,-117.7870208,6:27 AM,4:46 PM,Clear,63,59,0,18,2.6
156,Main Beach,33.54256641,-117.7869133,6:27 AM,4:46 PM,Clear,63,59,0,18,2.6
157,Brooks Street Beach,33.53275705,-117.7771038,6:26 AM,4:46 PM,Clear,60,59,0,10,2
158,Victoria Beach,33.51689843,-117.7611228,6:26 AM,4:46 PM,Clear,60,59,0,10,2
159,Aliso Beach,33.51038632,-117.7525398,6:26 AM,4:46 PM,Clear,60,59,0,10,2
160,West Street Beach,33.50595903,-117.7486526,6:26 AM,4:46 PM,Clear,60,59,0,10,2
