Beach_ID,Beach Name,Latitude,Longitude,Sunrise,Sunset,Weather Description,Temperature,Water Temperature,Cloud Cover,Wind Speed,Wave Height
84,Pescadero State Beach,37.26296837,-122.4136772,6:47 AM,17:00,Clear,49,56,0,10,5.6
85,Pebble Beach,36.57242701,-121.9477807,6:44 AM,16:59,Clear,51,55,0,6,6.2
86,Bean Hollow State Beach,37.22636846,-122.409955,6:47 AM,17:00,Clear,49,56,0,10,5.6
87,Pigeon Point Beach,37.18281646,-122.3849497,6:47 AM,17:00,Clear,49,56,0,10,5.6
88,Año Nuevo State Park,37.11362641,-122.3299457,6:47 AM,17:00,Clear,49,56,0,10,5.6
89,Gazos Creek State Beach,37.1683354,-122.3626122,6:47 AM,17:00,Clear,49,56,0,10,5.6
90,Scaroni Road beach,36.97819903,-122.1371627,6:46 AM,17:00,Clear,50,56,0,9,4.6
91,Natural Bridges State Beach,36.95043481,-122.0573468,6:46 AM,16:59,Clear,50,56,0,9,4.6
92,Lighthouse Field State Beach,36.95189034,-122.0285827,6:46 AM,16:59,Clear,50,56,0,9,4.6
93,Santa Cruz Beach,36.96440579,-122.0177257,6:46 AM,16:59,Clear,50,56,0,9,4.6
94,Twin Lakes State Beach,36.96234726,-121.9978356,6:46 AM,16:59,Clear,50,56,0,9,4.6
95,Capitola State Beach,36.97124,-121.951902,6:46 AM,16:59,Clear,50,56,0,9,4.6
96,Seacliff State Beach,36.97197984,-121.91399,6:45 AM,16:59,Partly cloudy,46,55,1,6,2.6
97,Manresa State Beach,36.93232569,-121.862878,6:45 AM,16:59,Partly cloudy,46,55,1,6,2.6
98,New Brighton State Beach,36.97873139,-121.9383879,6:46 AM,16:59,Clear,50,56,0,9,4.6
99,Sunset State Beach,36.88700143,-121.8326324,6:45 AM,16:59,Partly cloudy,46,55,1,6,2.6
100,Asilomar State Beach,36.61826712,-121.9419008,6:45 AM,16:59,Clear,51,55,0,6,6.2
101,Carmel River State Beach,36.53817954,-121.9290057,6:44 AM,17:00,Clear,51,55,0,6,6.2
102,John Little State Reserve,36.11949528,-121.6316069,6:43 AM,17:01,Clear,54,52,0,10,6.6
103,Julia Pfeiffer Burns State Park,36.16594936,-121.6801454,6:44 AM,17:00,Clear,51,55,0,6,6.2
104,Marina State Beach,36.69649793,-121.8094498,6:44 AM,16:59,Partly cloudy,46,55,1,6,2.6
105,Monterey State Beach,36.61250151,-121.8580798,6:44 AM,16:59,Clear,51,55,0,6,6.2
106,Moss Landing State Beach,36.81540267,-121.7915881,6:44 AM,16:58,Partly cloudy,46,55,1,6,2.6
107,Point Lobos State Reserve,36.5165681,-121.9388299,6:44 AM,17:00,Clear,51,55,0,6,6.2
108,Point Sur Lightstation State Historic Park,36.309028,-121.8954479,6:44 AM,17:00,Clear,51,55,0,6,6.2
109,Salinas River State Beach,36.7754768,-121.7952683,6:44 AM,16:58,Partly cloudy,46,55,1,6,2.6
110,Sand Dollar Beach,35.92314004,-121.4685117,6:39 AM,16:58,Clear,50,55,0,6,4.9
111,Zmudowski State Beach,36.84292083,-121.805257,6:44 AM,16:58,Partly cloudy,46,55,1,6,2.6
112,William Randolph Hearst Memorial State Beach,35.64417168,-121.1880653,6:39 AM,16:58,Clear,50,55,0,6,4.9
113,Estero Bluffs State Park,35.44920684,-120.9181629,6:38 AM,16:58,Partly cloudy,50,55,4,11,4.3
114,Cayucos State Beach,35.44857182,-120.9059346,6:38 AM,16:58,Partly cloudy,50,55,4,11,4.3
115,Morro Strand State Beach,35.39210458,-120.8668416,6:38 AM,16:58,Partly cloudy,50,55,4,11,4.3
116,Morro Rock Beach,35.37284552,-120.865919,6:38 AM,16:58,Partly cloudy,50,55,4,11,4.3
117,Morro Bay State Park,35.34330579,-120.8430451,6:38 AM,16:58,Partly cloudy,50,55,4,11,4.3
118,Montaña de Oro State Park,35.26925951,-120.8941898,6:38 AM,16:58,Partly cloudy,50,55,4,11,4.3
119,Ávila Beach,35.18010746,-120.7316191,6:37 AM,16:58,Partly cloudy,50,55,9,8,4.3
120,Pismo State Beach,35.14570355,-120.6417563,6:36 AM,16:57,Partly cloudy,50,55,12,10,3.9
121,Rancho Guadalupe Dunes County Park,34.96514896,-120.6515443,6:36 AM,16:57,Partly cloudy,50,55,12,10,3.9
122,Point Sal State Beach,34.90204849,-120.6548958,6:36 AM,16:57,Partly cloudy,50,55,12,10,3.9
123,Surf Beach,34.68424954,-120.6064212,6:35 AM,16:58,Partly cloudy,52,56,5,14,4.6
124,Jalama Beach County Park,34.51081204,-120.5018918,6:35 AM,16:58,Partly cloudy,52,56,5,14,4.6
125,Jack and Laura Dangermond Preserve,34.54432267,-120.4129323,6:33 AM,16:57,Clear,54,56,0,11,2.3
126,Hollister Ranch,34.4704015,-120.2347654,6:33 AM,16:57,Clear,54,56,0,11,2.3
127,Gaviota State Park,34.47353149,-120.2296213,6:33 AM,16:57,Clear,54,56,0,11,2.3
128,Refugio State Beach,34.46328972,-120.0701569,6:33 AM,16:57,Clear,54,56,0,11,2.3
129,El Capitán State Beach,34.46061439,-120.0248308,6:32 AM,16:56,Clear,55,57,0,8,1.6
130,Santa Barbara Shores County Park,34.42241824,-119.8961652,6:32 AM,16:56,Clear,55,57,0,8,1.6
131,Goleta Beach Park,34.41681648,-119.8324352,6:32 AM,16:56,Clear,55,57,0,8,1.6
132,Arroyo Burro Beach,34.4026134,-119.7430753,6:31 AM,16:55,Partly cloudy,55,59,1,10,1.6
133,Leadbetter Beach,34.40248784,-119.699369,6:31 AM,16:55,Partly cloudy,55,59,1,10,1.6
134,West Beach,34.40535704,-119.6973811,6:31 AM,16:55,Partly cloudy,55,59,1,10,1.6
135,East Beach,34.41634896,-119.6804242,6:31 AM,16:55,Partly cloudy,55,59,1,10,1.6
136,Butterfly Beach,34.4177324,-119.6494454,6:31 AM,16:55,Partly cloudy,55,59,1,10,1.6
137,Lookout County Park,34.42038268,-119.6024139,6:31 AM,16:55,Partly cloudy,55,59,1,10,1.6
138,Carpinteria State Beach,34.39281987,-119.5240894,6:30 AM,16:54,Partly cloudy,55,59,1,10,1.6
139,Rincon Beach Park,34.3801909,-119.4831245,6:30 AM,16:54,Partly cloudy,55,59,1,10,1.6
140,Emma Wood State Beach,34.29332738,-119.3400669,6:29 AM,16:53,Clear,58,56,0,12,2.6
141,San Buenaventura State Beach,34.26991871,-119.2768745,6:29 AM,16:53,Clear,58,56,0,12,2.6
142,McGrath State Beach,34.2210903,-119.259957,6:29 AM,16:53,Clear,58,56,0,12,2.6
143,Mandalay State Beach,34.18131648,-119.2390512,6:29 AM,16:53,Clear,58,56,0,12,2.6
144,Oxnard Beach Park,34.17672826,-119.2371455,6:29 AM,16:53,Clear,58,56,0,12,2.6
145,Channel Islands Beach,34.15849146,-119.2247756,6:29 AM,16:53,Clear,58,56,0,12,2.6
146,Silver Strand Beach,34.1582759,-119.2259773,6:29 AM,16:53,Clear,58,56,0,12,2.6
147,Port Hueneme Beach Park,34.14254714,-119.1960592,6:29 AM,16:53,Clear,60,57,0,7,2.6
148,Point Mugu State Park,34.09480328,-119.0635493,6:28 AM,16:53,Clear,60,57,0,7,2.6
149,County Line Beach,34.051417,-118.9601453,6:28 AM,16:53,Clear,60,57,0,7,2.6
150,Leo Carrillo State Park,34.04417165,-118.9353832,6:28 AM,16:53,Clear,60,57,0,7,2.6
151,Robert Meyer Memorial State Beach,34.03869785,-118.8758222,6:28 AM,16:53,Clear,60,57,0,7,2.6
152,El Pescador State Beach,34.04055637,-118.8920206,6:28 AM,16:53,Clear,60,57,0,7,2.6
153,La Piedra State Beach,34.03985483,-118.8874178,6:28 AM,16:53,Clear,60,57,0,7,2.6
154,El Matador State Beach,34.03820261,-118.8747166,6:28 AM,16:53,Clear,60,57,0,7,2.6
155,Lechuza Beach,34.03610607,-118.8662851,6:28 AM,16:53,Clear,60,57,0,7,2.6
156,Broad Beach,34.0378004,-118.8678132,6:28 AM,16:53,Clear,60,57,0,7,2.6
157,Zuma Beach County Park,34.02190008,-118.8306025,6:28 AM,16:53,Clear,60,57,0,7,2.6
158,Point Dume State Beach,34.01137544,-118.8169822,6:28 AM,16:53,Clear,60,57,0,7,2.6
159,Malibu Lagoon State Beach,34.03397257,-118.6803286,6:25 AM,16:51,Clear,58,62,0,7,1.3
160,Topanga State Beach,34.07308175,-118.5913072,6:25 AM,16:51,Clear,58,62,0,7,1.3
161,Will Rogers State Beach,34.03695749,-118.5375772,6:25 AM,16:51,Clear,58,62,0,7,1.3
162,Santa Monica State Beach,34.01453645,-118.5023759,6:25 AM,16:51,Clear,58,62,0,7,1.3
163,Venice City Beach,33.97918361,-118.469256,6:25 AM,16:51,Clear,58,62,0,7,1.3
164,Playa Del Rey,33.953557,-118.4489999,6:25 AM,16:51,Clear,58,62,0,7,1.3
165,Dockweiler State Beach,33.93020159,-118.4361253,6:25 AM,16:51,Clear,60,59,0,10,3
166,El Segundo Beach,33.91567244,-118.4299455,6:25 AM,16:51,Clear,60,59,0,10,3
167,El Porto Beach,33.90327605,-118.4218,6:25 AM,16:51,Clear,60,59,0,10,3
168,Manhattan Beach County Park,33.90186877,-118.4213709,6:25 AM,16:51,Clear,60,59,0,10,3
169,Hermosa City Beach,33.86262759,-118.4029938,6:25 AM,16:51,Clear,60,59,0,10,3
170,Redondo Beach State Park,33.8702527,-118.4056974,6:25 AM,16:51,Clear,60,59,0,10,3
171,RAT Beach,33.80419646,-118.3947961,6:25 AM,16:51,Clear,60,59,0,10,3
172,Torrance County Beach,33.81375651,-118.3917316,6:25 AM,16:51,Clear,60,59,0,10,3
173,Royal Palms State Beach,33.72059658,-118.3280213,6:24 AM,16:50,Clear,60,59,0,10,3
174,Cabrillo Beach Park,33.71624105,-118.3182366,6:24 AM,16:50,Clear,60,59,0,10,3
175,Los Alamitos Bay (Long Beach),33.74966979,-118.1154674,6:23 AM,16:50,Clear,61,60,0,14,3.3
176,Mother's Beach (Long Beach),33.75832864,-118.1198392,6:23 AM,16:50,Clear,61,60,0,14,3.3
177,Seal Beach,33.73288587,-118.0944039,6:23 AM,16:50,Clear,60,60,0,9,3.3
178,Surfside Beach,28.95797697,-95.27664486,6:44 AM,17:28,Overcast,66,73,100,16,2.3
179,Sunset Beach,33.87633524,-78.49002885,6:45 AM,17:11,Clear,47,69,0,21,3
180,Bolsa Chica State Beach,33.69949298,-118.0506696,6:23 AM,16:50,Clear,60,60,0,9,3.3
181,Huntington City Beach,33.6556063,-118.0027792,6:23 AM,16:50,Clear,60,60,0,9,3.3
182,Huntington State Beach,33.63838381,-117.9741486,6:22 AM,16:49,Clear,60,60,0,9,3.3
183,Santa Ana River County Beach,33.62579683,-117.9515567,6:22 AM,16:49,Clear,60,60,0,9,3.3
184,Newport Municipal Beach,33.60645254,-117.9260873,6:22 AM,16:49,Clear,60,60,0,9,3.3
185,Balboa Beach,33.60304736,-117.9113882,6:22 AM,16:49,Clear,60,60,0,9,3.3
186,West Jetty View Park,33.595343,-117.8830937,6:22 AM,16:49,Clear,60,60,0,9,3.3
187,Bayside Drive County Beach,33.60680874,-117.8844751,6:22 AM,16:49,Clear,60,60,0,9,3.3
188,China Cove Beach,33.59829167,-117.880188,6:22 AM,16:49,Clear,60,60,0,9,3.3
189,Rocky Point,31.3232581,-113.5529865,7:01 AM,17:36,Clear,59,72,0,22,2.6
190,Corona del Mar State Beach,33.59308086,-117.8765156,6:22 AM,16:49,Clear,60,60,0,9,3.3
191,Little Corona del Mar Beach,33.59007934,-117.8689934,6:22 AM,16:49,Clear,60,60,0,9,3.3
192,Crystal Cove State Park,33.57566596,-117.8412706,6:22 AM,16:49,Clear,60,60,0,9,3.3
193,Crescent Bay Point Park,33.54707317,-117.8038219,6:22 AM,16:49,Clear,60,60,0,9,3.3
194,Shaw's Cove,33.54560671,-117.7982644,6:22 AM,16:49,Clear,60,60,0,9,3.3
195,Diver's Cove,33.54480194,-117.7945844,6:22 AM,16:49,Clear,60,60,0,9,3.3
196,Rockpile Beach,33.543094,-117.7896491,6:22 AM,16:49,Clear,60,60,0,9,3.3
197,Picnic Beach,33.54364841,-117.7927497,6:22 AM,16:49,Clear,60,60,0,9,3.3
198,Main Beach,33.54256641,-117.7869133,6:22 AM,16:49,Clear,60,60,0,9,3.3
199,Brooks Beach,33.53275705,-117.7771038,6:21 AM,16:49,Clear,59,64,0,2,2
200,Victoria Beach,33.51689843,-117.7611228,6:21 AM,16:49,Clear,59,64,0,2,2
201,Laguna Beach,33.54263769,-117.7870208,6:22 AM,16:49,Clear,60,60,0,9,3.3
202,Aliso Creek County Beach,33.51038632,-117.7525398,6:21 AM,16:49,Clear,59,64,0,2,2
203,West Street Beach,33.50595903,-117.7486526,6:21 AM,16:49,Clear,59,64,0,2,2
204,"1,000 Steps Beach",33.4985416,-117.7414247,6:21 AM,16:49,Clear,59,64,0,2,2
205,Salt Creek County Beach,33.47769283,-117.7226023,6:21 AM,16:49,Clear,59,64,0,2,2
206,Doheny State Beach,33.46287214,-117.6873259,6:21 AM,16:49,Clear,59,64,0,2,2
207,Capistrano Beach,33.45614113,-117.6676277,6:21 AM,16:49,Clear,59,64,0,2,2
208,Poche Beach,33.44156743,-117.64617,6:21 AM,16:48,Clear,59,64,0,2,2
209,San Clemente City Beach,33.42782296,-117.6280388,6:21 AM,16:48,Clear,59,64,0,2,2
210,San Clemente State Beach,33.40365884,-117.6048362,6:21 AM,16:48,Clear,59,64,0,2,2
211,San Onofre State Beach,33.37388206,-117.5662879,6:21 AM,16:48,Clear,59,64,0,2,2
212,"Del Mar Beach, Camp Pendleton",33.22066881,-117.4072513,6:20 AM,16:48,Clear,59,64,0,5,3.3
213,Harbor Beach,33.20826708,-117.3992667,6:20 AM,16:48,Clear,59,64,0,5,3.3
214,Oceanside City Beach,33.19538512,-117.3857032,6:20 AM,16:48,Clear,59,64,0,5,3.3
215,"Buccaneer Beach, Oceanside",33.17851501,-117.3703371,6:20 AM,16:48,Clear,59,64,0,5,3.3
216,South Oceanside Beach (Cassidy Street),33.17311454,-117.3655589,6:20 AM,16:48,Clear,59,64,0,5,3.3
217,Saint Malo Beach,33.16615726,-117.360099,6:20 AM,16:48,Clear,59,64,0,5,3.3
218,Carlsbad City Beach,33.15757212,-117.3532021,6:20 AM,16:48,Clear,59,64,0,5,3.3
219,Terra Mar Point,33.12822917,-117.3335735,6:20 AM,16:48,Clear,59,64,0,5,3.3
220,Carlsbad State Beach,33.15031883,-117.3487623,6:20 AM,16:48,Clear,59,64,0,5,3.3
221,South Carlsbad State Beach,33.10359124,-117.3199447,6:19 AM,16:48,Partly cloudy,60,60,0,6,3.9
222,Ponto Beach,33.10747125,-117.3218329,6:19 AM,16:48,Partly cloudy,60,60,0,6,3.9
223,Grandview,33.07705649,-117.3110183,6:19 AM,16:48,Partly cloudy,60,60,0,6,3.9
224,Beacon's Beach,33.07691959,-117.3099082,6:19 AM,16:48,Partly cloudy,60,60,0,6,3.9
