Beach_ID,Beach_Name,Latitude,Longitude,Sunrise,Sunset,Weather_Description,Temperature,Water_Temperature,Cloud_Cover,Wind_Speed,Wave_Height
95,Seacliff State Beach,36.97197984,-121.91399,07:33 AM,06:09 PM,Partly cloudy,51,55,11,2,3.9
96,Manresa State Beach,36.93232569,-121.862878,07:33 AM,06:09 PM,Partly cloudy,51,55,11,2,3.9
97,New Brighton State Beach,36.97873139,-121.9383879,07:34 AM,06:09 PM,Patchy rain possible,52,56,74,2,5.6
98,Sunset State Beach,36.88700143,-121.8326324,07:33 AM,06:09 PM,Partly cloudy,51,55,11,2,3.9
99,Asilomar State Beach,36.61826712,-121.9419008,07:33 AM,06:10 PM,Partly cloudy,54,52,23,2,7.9
100,Carmel River State Beach,36.53817954,-121.9290057,07:33 AM,06:10 PM,Partly cloudy,54,52,23,2,7.9
101,John Little State Reserve,36.11949528,-121.6316069,07:31 AM,06:11 PM,Partly cloudy,56,53,26,9,8.5
102,Julia Pfeiffer Burns State Park,36.16594936,-121.6801454,07:33 AM,06:10 PM,Partly cloudy,54,52,23,2,7.9
103,Marina State Beach,36.69649793,-121.8094498,07:33 AM,06:09 PM,Partly cloudy,51,55,11,2,3.9
104,Monterey State Beach,36.61250151,-121.8580798,07:33 AM,06:09 PM,Patchy rain possible,54,52,82,2,7.9
105,Moss Landing State Beach,36.81540267,-121.7915881,07:32 AM,06:09 PM,Partly cloudy,51,55,11,2,3.9
106,Point Lobos State Reserve,36.5165681,-121.9388299,07:33 AM,06:10 PM,Partly cloudy,54,52,23,2,7.9
107,Point Sur Lightstation State Historic Park,36.309028,-121.8954479,07:33 AM,06:10 PM,Partly cloudy,54,52,23,2,7.9
108,Salinas River State Beach,36.7754768,-121.7952683,07:32 AM,06:09 PM,Partly cloudy,51,55,11,2,3.9
109,Sand Dollar Beach,35.92314004,-121.4685117,07:28 AM,06:08 PM,Partly cloudy,52,56,18,7,5.9
110,Zmudowski State Beach,36.84292083,-121.805257,07:32 AM,06:09 PM,Partly cloudy,51,55,11,2,3.9
111,William Randolph Hearst Memorial State Beach,35.64417168,-121.1880653,07:28 AM,06:08 PM,Partly cloudy,52,56,18,7,5.9
112,Estero Bluffs State Park,35.44920684,-120.9181629,07:26 AM,06:07 PM,Cloudy,53,52,78,7,5.9
113,Cayucos State Beach,35.44857182,-120.9059346,07:26 AM,06:07 PM,Cloudy,53,52,78,7,5.9
114,Morro Strand State Beach,35.39210458,-120.8668416,07:26 AM,06:07 PM,Cloudy,53,52,78,7,5.9
115,Morro Rock Beach,35.37284552,-120.865919,07:26 AM,06:07 PM,Cloudy,53,52,78,7,5.9
116,Morro Bay State Park,35.34330579,-120.8430451,07:26 AM,06:07 PM,Cloudy,53,52,78,7,5.9
117,Montaña de Oro State Park,35.26925951,-120.8941898,07:27 AM,06:08 PM,Cloudy,53,52,78,7,5.9
118,Ávila Beach,35.18010746,-120.7316191,07:26 AM,06:07 PM,Partly cloudy,53,52,58,9,5.6
119,Pismo State Beach,35.14570355,-120.6417563,07:25 AM,06:07 PM,Partly cloudy,54,53,48,10,5.2
120,Rancho Guadalupe Dunes County Park,34.96514896,-120.6515443,07:25 AM,06:07 PM,Partly cloudy,54,53,48,10,5.2
121,Point Sal State Beach,34.90204849,-120.6548958,07:25 AM,06:07 PM,Partly cloudy,54,53,48,10,5.2
122,Surf Beach,34.68424954,-120.6064212,07:24 AM,06:08 PM,Cloudy,55,54,75,16,5.9
123,Jalama Beach County Park,34.51081204,-120.5018918,07:24 AM,06:08 PM,Cloudy,55,54,75,16,5.9
124,Jack and Laura Dangermond Preserve,34.54432267,-120.4129323,07:22 AM,06:06 PM,Overcast,55,60,94,18,2.6
125,Hollister Ranch,34.4704015,-120.2347654,07:22 AM,06:06 PM,Overcast,55,60,94,18,2.6
126,Gaviota State Park,34.47353149,-120.2296213,07:22 AM,06:06 PM,Overcast,55,60,94,18,2.6
127,Refugio State Beach,34.46328972,-120.0701569,07:22 AM,06:06 PM,Overcast,55,60,94,18,2.6
128,El Capitán State Beach,34.46061439,-120.0248308,07:21 AM,06:05 PM,Overcast,54,61,99,16,2.0
129,Santa Barbara Shores County Park,34.42241824,-119.8961652,07:21 AM,06:05 PM,Overcast,54,61,99,16,2.0
130,Goleta Beach Park,34.41681648,-119.8324352,07:21 AM,06:05 PM,Overcast,54,61,99,16,2.0
131,Arroyo Burro Beach,34.4026134,-119.7430753,07:20 AM,06:04 PM,Overcast,55,63,97,11,1.0
132,Leadbetter Beach,34.40248784,-119.699369,07:20 AM,06:04 PM,Overcast,55,63,97,11,1.0
133,West Beach,34.40535704,-119.6973811,07:20 AM,06:04 PM,Overcast,55,63,97,11,1.0
134,East Beach,34.41634896,-119.6804242,07:20 AM,06:04 PM,Overcast,55,63,97,11,1.0
135,Butterfly Beach,34.4177324,-119.6494454,07:20 AM,06:04 PM,Overcast,55,63,97,11,1.0
136,Lookout County Park,34.42038268,-119.6024139,07:20 AM,06:04 PM,Overcast,55,63,97,11,1.0
137,Carpinteria State Beach,34.39281987,-119.5240894,07:19 AM,06:04 PM,Overcast,55,63,97,11,1.0
138,Rincon Beach Park,34.3801909,-119.4831245,07:19 AM,06:04 PM,Overcast,55,63,97,11,1.0
139,Emma Wood State Beach,34.29332738,-119.3400669,07:18 AM,06:03 PM,Overcast,60,64,98,16,1.6
140,San Buenaventura State Beach,34.26991871,-119.2768745,07:18 AM,06:03 PM,Overcast,60,64,98,16,1.6
141,McGrath State Beach,34.2210903,-119.259957,07:18 AM,06:03 PM,Overcast,60,64,98,16,1.6
142,Mandalay State Beach,34.18131648,-119.2390512,07:18 AM,06:03 PM,Overcast,60,64,98,16,1.6
143,Oxnard Beach Park,34.17672826,-119.2371455,07:18 AM,06:03 PM,Overcast,60,64,98,16,1.6
144,Channel Islands Beach,34.15849146,-119.2247756,07:18 AM,06:03 PM,Overcast,60,64,98,16,1.6
145,Silver Strand Beach,34.1582759,-119.2259773,07:18 AM,06:03 PM,Overcast,60,64,98,16,1.6
146,Port Hueneme Beach Park,34.14254714,-119.1960592,07:18 AM,06:03 PM,Cloudy,60,65,65,26,2.0
147,Point Mugu State Park,34.09480328,-119.0635493,07:17 AM,06:02 PM,Cloudy,60,65,65,26,2.0
148,County Line Beach,34.051417,-118.9601453,07:17 AM,06:02 PM,Cloudy,60,65,65,26,2.0
149,Leo Carrillo State Park,34.04417165,-118.9353832,07:17 AM,06:02 PM,Cloudy,60,65,65,26,2.0
150,Robert Meyer Memorial State Beach,34.03869785,-118.8758222,07:17 AM,06:02 PM,Cloudy,60,65,65,26,2.0
151,El Pescador State Beach,34.04055637,-118.8920206,07:17 AM,06:02 PM,Cloudy,60,65,65,26,2.0
152,La Piedra State Beach,34.03985483,-118.8874178,07:17 AM,06:02 PM,Cloudy,60,65,65,26,2.0
153,El Matador State Beach,34.03820261,-118.8747166,07:17 AM,06:02 PM,Cloudy,60,65,65,26,2.0
154,Lechuza Beach,34.03610607,-118.8662851,07:17 AM,06:02 PM,Cloudy,60,65,65,26,2.0
155,Broad Beach,34.0378004,-118.8678132,07:17 AM,06:02 PM,Cloudy,60,65,65,26,2.0
156,Zuma Beach County Park,34.02190008,-118.8306025,07:17 AM,06:02 PM,Cloudy,60,65,65,26,2.0
157,Point Dume State Beach,34.01137544,-118.8169822,07:17 AM,06:02 PM,Cloudy,60,65,65,26,2.0
158,Malibu Lagoon State Beach,34.03397257,-118.6803286,07:15 AM,06:00 PM,Overcast,60,66,100,6,1.3
159,Topanga State Beach,34.07308175,-118.5913072,07:15 AM,06:00 PM,Overcast,60,66,100,6,1.3
160,Will Rogers State Beach,34.03695749,-118.5375772,07:15 AM,06:00 PM,Overcast,60,66,100,6,1.3
161,Santa Monica State Beach,34.01453645,-118.5023759,07:15 AM,06:00 PM,Overcast,60,66,100,6,1.3
162,Venice City Beach,33.97918361,-118.469256,07:15 AM,06:00 PM,Overcast,60,66,100,6,1.3
163,Playa Del Rey,33.953557,-118.4489999,07:15 AM,06:00 PM,Overcast,60,66,100,6,1.3
164,Dockweiler State Beach,33.93020159,-118.4361253,07:14 AM,06:00 PM,Cloudy,62,66,80,12,2.3
165,El Porto Beach,33.90327605,-118.4218,07:14 AM,06:00 PM,Cloudy,62,66,80,12,2.3
166,Manhattan Beach County Park,33.90186877,-118.4213709,07:14 AM,06:00 PM,Cloudy,62,66,80,12,2.3
167,Hermosa City Beach,33.86262759,-118.4029938,07:14 AM,06:00 PM,Cloudy,62,66,80,12,2.3
